DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS EOD/T,EOD/R,bad_2,bad_3,bad_4,year
,8 - 09,(TUE),148,2194.29,14.83,633.67,4.63,62,0,0,0,,,2005
,8 - 10,(WED),156,2 111 . 70,13.54,476.64,3 . 33,59,2,0,0,,,2005
,8 - 11,(THU),1 14,1606 . 11,14.09,307 . 82,2 . 93,57,2,0,0,,,2005
,8 - 12,(FRI),106,1400.9,13.22,354.8,3.86,63,0,0,0,,,2005
,8 - 13,(SAT),226,3588 . 77,15.88,1111.81,5.45,73,1,0,0,,,2005
*,8 - 14,(SUN),0,,,,,,,,,,,2005
,8 - 15,(MON),126,1743.8,13.84,511.35,4.65,61,3,0,0,,,2005
,8-16,(TUE),154,2011.94,13.06,510 . 33,3.54,67,2,0,0,,,2005
,8-17,(WED),130,2024.56,15 . 57,718.27,6.04,65,0,0,0,,,2005
,8 - 18,(THU),154,2217 . 07,14.4,564.87,3.79,66,0,0,0,,,2005
,8 - 19,(FRI),182,2445.85,13.44,655.74,4.15,70,0,0,0,,,2005
,8 - 20,(SAT),228,3616 . 41,15.86,998.36,4 . 69,72,0,0,0,,,2005
*,8 - 21,(SUN),0,,,,,,,,,,,2005
,8 - 22,(MON),117,1646.58,14.07,420. 2 6,3.93,65,2,0,0,,,2005
,8 - 23,(TUE),83,111 7 . 39,13.46,280.84,3.85,60,0,0,0,,,2005
,8 - 24,(WED),96,12 2 6. 1 0,1 2 .77,288.69,3 .5 2,5 9,0,0,0,,,2005
,8 - 25,(THU),49,831 . 38,16 . 97,215.4,4.9,52,0,0,0,,,2005
*,8 - 26,(FRI),0,,,,,,,,,,,2005
,8 - 27,(SAT),116,1613.8,13.91,408.09,4,64,1,0,0,,,2005
*,8 - 28,(SUN),0,,,,,,,,,,,2005
,8 -2 9,(MON),147,2026.81,13.79,556 .2 3,4 . 60,69,0,0,0,,,2005
,8-30,(TUE),178,2373.24,13 . 33,536.78,3.31,60,0,0,0,,,2005
,8 - 31,(WED),156,2262 . 09,14.5,662.31,4.57,68,0,0,0,,,2005
,7-01,(FRI),166,2557.92,15.41,813.74,5.54,70,0,0,0,,,2005
