DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS EOD/T,EOD/R,bad_2,bad_3,bad_4,year
*,1-11,(SUN),0,,,,,,,,,,,2004
,1-12,(MON),323,4159.25,,12.88,708.24,2.29,48,0,0,0,,2004
,1-13,(TUE),344,4458 . 10,,12.96,833.58,2.52,47,2,0,0,,2004
,1-14,(WED),300,3869.57,,12.9,753.66,2.66,51,0,0,0,,2004
,1-15,(THU),325,3963.83,,12.2,804.86,2.54,49,0,0,0,,2004
,1-16,(FRI),350,4958.08,,14.17,1122.73,3.4,61,0,0,0,,2004
,1-17,(SAT),367,5361.77,,14.61,1251.98,3.54,63,1,0,0,,2004
*,1-18,(SUN),0,,,,,,,,,,,2004
,1-19,(MON),129,1751.32,,13.58,389.38,3.24,60,0,0,0,,2004
,1-20,(TUE),277,3545.56,,12.8,766.01,3.05,58,3,0,0,,2004
,1-21,(WED),220,3059.37,,13.91,664.95,3.17,54,1,0,0,,2004
,1-22,(THU),266,3082.69,,11. 59,706.89,2.82,51,0,0,0,,2004
,1-23,(FRI),289,3692.62,,12.78,786.44,2.84,52,0,0,0,,2004
,1-24,(SAT),354,5099.07,,14.4,1265.49,3.71,61,0,0,0,,2004
*,1-25,(SUN),0,,,,,,,,,,,2004
,1-26,(MON),204,2662.02,,13.05,576.4,3.02,52,0,0,0,,2004
,1-27,(TUE),5,57.96,,11.59,10.96,2.74,50,0,0,0,,2004
,1-28,(WED),266,3367.11,,12.66,719 . 66,2.96,54,2,0,0,,2004
,1-29,(THU),292,3613.41,,12.37,781. 05,2.91,51,0,0,0,,2004
,1-30,(FRI),113,1553.53,,13.75,339.11,3.23,52,2,0,0,,2004
,1-31,(SAT),0,,,,,,,,,,,2004
12-01,(MON),265,3579.33,13.51,749.32,3.03,56,1,0,0,,,,2003
12-02,(TUE),276,3712.79,13.45,773.32,2.96,51,1,0,0,,,,2003
12-03,(WED),243,3317.64,13.65,684.13,2.91,53,0,0,0,,,,2003
12-04,(THU),245,3229.35,13.18,746.25,3.26,54,3,0,0,,,,2003
12-05,(FRI),303,4257.15,14.05,1031.14,3.62,65,0,0,0,,,,2003
12-06,(SAT),343,4687.07,13.66,1084.66,3.41,61,2,0,0,,,,2003
*12-07,(SUN),0,,,,,,,,,,,,2003
12-08,(MON),250,3332.91,13.33,575.13,2.43,58,2,0,0,,,,2003
12-09,(TUE),246,3314.28,13.47,703.86,3.05,58,0,0,0,,,,2003
12 - 10,(WED),10,129 . 88,12.99,28.38,3.15,44,0,0,0,,,,2003
12 - 11,(THU),218,2987.2,13.7,657.24,3.22,57,0,0,0,,,,2003
12-12,(FRI),298,4236.33,14.22,980.2,3.59,58,0,0,0,,,,2003
12-13,(SAT),290,4185 . 50,14.43,944 . 23,3.42,65,0,0,0,,,,2003
*12-14,(SUN),0,,,,,,,,,,,,2003
12 - 15,(MON),149,1839.3,12.34,403.73,3.04,57,0,0,0,,,,2003
12-16,(TUE),73,964 . 28,13.21,268.81,4.34,65,0,0,0,,,,2003
12-17,(WED),0,,,,,,,,,,,,2003
12 - 18,(THU),278,3412.91,12.28,762.61,3.08,54,0,0,0,,,,2003
12-19,(FRI),332,4673.1,14.08,1174 . 12,3.79,65,5,0,0,,,,2003
12-20,(SAT),382,5500 . 45,14.4,1406.39,3.83,67,0,0,0,,,,2003
*12-21,(SUN),0,,,,,,,,,,,,2003
12-22,(MON),278,3929.51,14 . 13,917.52,3.42,57,1,0,0,,,,2003
12 - 23,(TUE),336,4710.96,14.02,1146.85,3.6,61,0,0,0,,,,2003
12 - 24,(WED),332,4759.36,14.34,1110.52,3.51,60,0,0,0,,,,2003
*12 - 25,(THU),0,,,,,,,,,,,,2003
12 - 26,(FRI),244,3393.63,13.91,830.2,3.63,53,0,0,0,,,,2003
12-27,(SAT),274,4056.94,14 . 81,978.58,3.72,62,0,0,0,,,,2003
*12-28,(SUN),0,,,,,,,,,,,,2003
12-29,(MON),290,4014.02,13.84,894 . 01,3.22,55,4,0,0,,,,2003
12-30,(TUE),360,4999.61,13.89,1015.98,2.91,56,0,0,0,,,,2003
12 - 31,(WED),387,5130 . 11,13.26,1067.58,2.89,58,2,0,0,,,,2003
11-01,(SAT),324,4667.7,14.41,1119.4,3.62,61,0,0,0,,,,2003
*11-02,(SUN),0,,,,,,,,,,,,2003
11 -03,(MON),115,1651.28,14.36,458.79,4.33,54,1,0,0,,,,2003
11-04,(TUE),0,,,,,,,,,,,,2003
11-05,(WED),127,1574.48,12.4,387.49,3.43,51,1,0,0,,,,2003
11-06,(THU),80,883.25,11.04,200.69,3,49,1,0,0,,,,2003
11 -0 7,(FRI),205,2763.18,13.48,648.87,3.53,58,0,0,0,,,,2003
11-08,(SAT),229,3289.33,14.36,886.52,4.22,62,0,0,0,,,,2003
*11-09,(SUN),0,,,,,,,,,,,,2003
11-10,(MON),223,2773.95,12.44,553.9,2.78,56,1,0,0,,,,2003
11-11,(TUE),232,3342.48,14 .41,843.96,3.84,64,3,0,0,,,,2003
11-12,(WED),215,2907.73,13.52,559.81,2.74,58,0,0,0,,,,2003
11 -13,(THU),302,4226.92,14,950.22,3.28,59,1,0,0,,,,2003
11-14,(FRI),333,4415.94,13.26,1042.26,3.42,61,3,0,0,,,,2003
11-15,(SAT),378,5364.46,14.19,1210.42,3.3,64,0,0,0,,,,2003
*11-16,(SUN),0,,,,,,,,,,,,2003
11 -17,(MON),292,3718.75,12.74,686.72,2.53,51,0,0,0,,,,2003
11 -18,(TUE),242,3156.54,13.04,733.94,3.28,54,0,0,0,,,,2003
11-19,(WED),42,534.17,12.72,80.15,1. 95,46,1,0,0,,,,2003
11 -20,(THU),276,3542.97,12.84,758.41,3.05,53,0,0,0,,,,2003
11 -21,(FRI),358,4812.06,13.44,1103.55,3.27,55,0,0,0,,,,2003
11-22,(SAT),330,4739.33,14.36,1115.97,3.55,59,1,0,0,,,,2003
*11 -23,(SUN),0,,,,,,,,,,,,2003
11 -24,(MON),250,3246.43,12.99,684.31,2.96,50,0,0,0,,,,2003
11 -25,(TUE),239,3229.56,13.51,696.64,3.08,55,1,0,0,,,,2003
11-26,(WED),364,5087.69,13.98,1253.6,3.62,63,2,0,0,,,,2003
*11-27,(THU),0,,,,,,,,,,,,2003
11 -28,(FRI),256,3764.24,14.7,891.31,3.57,61,0,0,0,,,,2003
11-29,(SAT),299,4063.65,13.59,855.33,3.12,58,1,0,0,,,,2003
*11-30,(SUN),0,,,,,,,,,,,,2003
10-01,(WED),125,1555.8,12.45,393.25,3.71,54,2,0,0,,,,2003
10-02,(THU),164,2168.27,13.22,539.65,3.7,71,2 1,0 0,0 0,,,,2003
10 -03,(FRI),258,3721.52,14.42,989.46,4.07,63,,0,0,,,,2003
10-04,(SAT),273,4039.95,14.8,1028,3.92,65,0,,,,,,2003
*10-05,(SUN),0,,,,,,,,,,,,2003
10-06,(MON),206,2948.36,14.31,632.63,3.28,59,2,1,1,,,,2003
10 -07,(TUE),227,3226.1,14.21,841.08,3.97,58,0,0,0,,,,2003
10-08,(WED),183,2465.95,13.48,571. 59,3.42,53,0,0,0,,,,2003
10-09,(THU),227,3154.35,13.9,776.3,3.58,65,0,0,0,,,,2003
10 -10,(FRI),241,3404.03,14.12,804.61,3.53,57,1,0,0,,,,2003
10-11,(SAT),265,3950.6,14.91,1129.47,4.46,68,2,2,2,,,,2003
*10-12,(SUN),0,,,,,,,,,,,,2003
10-13,(MON),208,2769.12,13.31,687.04,3.6,60,0,0,0,,,,2003
10-14,(TUE),209,2832.31,13.55,671. 28,3.44,62,0,0,0,,,,2003
10-15,(WED),257,3424.81,13.33,766.82,3.18,58,0,0,0,,,,2003
10 -16,(THU),239,3338.32,13.97,740.73,3.25,55,0,1,1,,,,2003
10-17,(FRI),269,3836.96,14.26,1047 .44,4.16,65,1,0,0,,,,2003
10-18,(SAT),366,5377.56,14.69,1297.93,3.7,60,2,1,1,,,,2003
*10 -19,(SUN),0,,,,,,,,,,,,2003
10-20,(MON),283,4066.11,14.37,1009.63,3.74,61,1,0,0,,,,2003
10-21,(TUE),245,3174.26,12.96,637.73,2.77,53,0,0,0,,,,2003
10 -22,(WED),233,3117.83,13.38,706.76,3.23,64,0,0,0,,,,2003
10-23,(THU),260,3618.13,13.92,704.71,2.83,53,3,0,0,,,,2003
10-24,(FRI),337,4445.25,13.19,972.2,3.13,59,1,0,0,,,,2003
10-25,(SAT),277,4194.13,15.14,1088.81,4.08,66,0,0,0,,,,2003
*10-26,(SUN),0,,,,,,,,,,,,2003
10 -27,(MON),272,3647.23,13.41,849.69,3.39,59,0,0,0,,,,2003
10-28,(TUE),172,2355.51,13.69,453.55,2.78,56,1,0,0,,,,2003
10-29,(WED),242,3179.92,13.14,643.91,2.86,52,0,0,0,,,,2003
10 -30,(THU),212,2661.03,12.55,513.79,2.58,48,0,0,0,,,,2003
10-31,(FRI),302,4089.46,13.54,985.87,3.44,57,2,0,0,,,,2003
*,9-01,(MON),0,,,,,,,,,,,2003
,9-02,(TUE),140,1803.66,12.88,448.76,3.65,67,1,1,1,,,2003
,9-03,(WED),54,741. 61,13.73,153.71,3.2,60,0,0,0,,,2003
,9-04,(THU),102,1409.9,13.82,323.87,3.37,61,0,0,0,,,2003
*,9-05,(FRI),0,,,,,,,,,,,2003
,9-06,(SAT),203,2855.65,14.07,858.04,4.61,68,1,0,0,,,2003
*,9-07,(SUN),0,,,,,,,,,,,2003
,9-08,(MON),170,2265.25,13.32,528.79,3.48,62,1,0,0,,,2003
,9-09,(TUE),179,2319.2,12.96,620.58,3.78,66,2,0,0,,,2003
,9-10,(WED),185,2400.41,12.98,568.77,3.31,61,0,0,0,,,2003
,9-11,(THU),181,2494.42,13.78,732.29,4.38,67,0,0,0,,,2003
,9-12,(FRI),223,3310.78,14.85,956.74,4.51,65,2,0,0,,,2003
,9-13,(SAT),197,3036.02,15.41,935.45,5.11,75,1,0,0,,,2003
*,9-14,(SUN),0,,,,,,,,,,,2003
,9-15,(MON),135,1767.71,13.09,405.63,3.3,62,0,1,1,,,2003
,9-16,(TUE),177,2360.62,13.34,587.08,3.6,63,0,0,0,,,2003
,9-17,(WED),134,1719.11,12.83,384.59,3.18,58,1,0,0,,,2003
,9-18,(THU),112,1490.85,13.31,444.09,4.44,67,1,0,0,,,2003
,9-19,(FRI),167,2389.21,14;31,488.49,3.24,64,0,0,0,,,2003
,9-20,(SAT),182,2816.62,15.48,743.73,4.25,65,0,0,0,,,2003
*,9-21,(SUN),0,,,,,,,,,,,2003
,9-22,(MON),137,1719.06,12.55,371. 55,2.97,58,0,0,0,,,2003
,9-23,(TUE),100,1391.15,13.91,322.2,3.58,63,0,0,0,,,2003
,9-24,(WED),122,1598.69,13.1,378.15,3.38,63,2,0,0,,,2003
,9-25,(THU),82,1025.74,12.51,215.24,2.99,60,1,0,0,,,2003
,9-26,(FRI),104,1431.52,13.76,347.07,3.62,68,0,0,0,,,2003
,9-27,(SAT),209,2942.48,14.08,735.69,3.83,64,0,0,0,,,2003
*,9-28,(SUN),0,,,,,,,,,,,2003
*,9-29,(MON},0,,,,,,,,,,,2003
,9-30,(TUE),48,500.38,10.42,107.86,2.63,46,1,0,0,,,2003
,8-01,(FRI),149,1993.57,13.38,503.08,3.78,64,0,0,0,,,2003
,8-02,(SAT),192,3033.7,15.8,935.83,5.26,78,0,0,0,,,2003
*,8-03,(SUN),0,,,,,,,,,,,2003
,8-04,(MON),99,1221.01,12.33,215.58,2.54,54,0,0,0,,,2003
,8-05,(TUE),108,1557.14,14 .42,422.16,4.06,65,0,0,0,,,2003
,8-06,(WED),128,1688.83,13.19,398.86,3.41,61,1,0,0,,,2003
,8-07,(THU),56,738.96,13.2,166.49,3.2,60,1,0,0,,,2003
,8-08,(FRI),11,149.48,13.59,36.48,3.65,70,0,0,0,,,2003
,8-09,(SAT),29,447.21,15.42,189.69,7.3,73,1,0,0,,,2003
*,8-10,(SUN),0,,,,,,,,,,,2003
,8-11,(MON),150,1932.04,12.88,431.12,3.32,61,0,0,0,,,2003
,8-12,(TUE),125,1622.92,12.98,384.93,3.53,66,0,0,0,,,2003
,8-13,(WED),125,1644.16,13.15,445.58,3.98,67,0,0,0,,,2003
*,8-14,(THU),0,,,,,,,,,,,2003
,8-15,(FRI),201,2865.22,14.25,777.86,4.37,72,0,0,0,,,2003
,8-16,(SAT),190,2688.61,14.15,789.5,4.49,68,2,0,0,,,2003
*,8-17,(SUN),0,,,,,,,,,,,2003
,8-18,(MON),126,1629.42,12.93,393.85,3.45,62,0,0,0,,,2003
,8-19,(TUE),82,1047.62,12.78,270.59,3.76,60,0,0,0,,,2003
,8-20,(WED),67,733.55,10.95,225.9,3.96,63,0,0,0,,,2003
,8-21,(THU),113,1493.46,13.22,339.47,3.2,68,1,0,0,,,2003
,8-22,(FRI),94,1255.56,13.36,299.66,3.7,64,1,1,0,,,2003
,8-23,(SAT),274,3988.45,14.56,1192.14,4.6,70,1,0,0,,,2003
*,8-24,(SUN),0,,,,,,,,,,,2003
,8-25,(MON),166,2053.32,12.37,468.71,3.12,56,0,0,0,,,2003
,8-26,(TUE),120,1639.14,13.66,378.13,3.35,67,0,0,0,,,2003
,8-27,(WED),139,1917.58,13.8,460.68,3.6,64,1,0,0,,,2003
,8-28,(THU),95,1282.65,13.5,288.69,3.36,58,0,0,0,,,2003
,8-29,(FRI),160,2084.74,13.03,540.66,3.81,65,0,0,0,,,2003
,8-30,(SAT),194,2814.19,14.51,804.19,4.49,65,1,0,0,,,2003
*,8-31,(SUN),0,,,,,,,,,,,2003
,7-01,(TUE),226,3075.24,13.61,700.19,3.29,61,0,0,0,,,2003
,7-02,(WED),230,3255.38,14.15,886.39,4.08,61,2,0,0,,,2003
,7-03,(THU),211,3052.5,14.47,837.56,4.25,63,0,0,0,,,2003
*,7-04,(FRI),0,,,,,,,,,,,2003
,7-05,(SAT),189,2877.37,15.22,759.79,4.29,65,0,0,0,,,2003
*,7-06,(SUN),0,,,,,,,,,,,2003
,7-07,(MON),152,2212.69,14.56,576.73,3.98,62,0,0,,,,2003
,7-08,(TUE),108,1585.14,14.68,408.67,3.93,69,0,0,0,,,2003
,7-09,(WED),156,1949.08,12.49,460.54,3.2,56,1,0,0,,,2003
,7-10,(THU),153,1926.12,12.59,456.57,3.28,55,0,0,0,,,2003
,7-11,(FRI),203,2814.59,13.86,668.67,3.56,66,0,0,0,,,2003
,7-12,(SAT),191,2840.53,14.87,782.04,4.34,68,1,0,0,,,2003
*,7-13,(SUN),0,,,,,,,,,,,2003
,7-14,(MON),108,1532.07,14.19,482.37,4.97,58,0,0,0,,,2003
,7-15,(TUE),129,1800.65,13.96,426.28,3.64,62,1,0,0,,,2003
,7-16,(WED),96,1281.78,13.35,295.84,3.44,62,1,0,0,,,2003
,7-17,(THU),145,1980.14,13.66,538.58,3.96,62,0,0,0,,,2003
,7-18,(FRI),187,2663.23,14.24,631.43,3.63,67,2,0,0,,,2003
,7-19,(SAT),260,3761.01,14.47,1165.92,4.84,70,2,0,0,,,2003
*,7-20,(SUN),0,,,,,,,,,,,2003
,7-21,(MON),147,1921.75,13.07,387.31,2.85,60,3,0,0,,,2003
,7-22,(TUE),1,,0,,0,0,,,,,,2003
,7-23,(WED),178,2297.64,12.91,593.11,3.8,60,1,0,0,,,2003
,7-24,(THU),117,1658.45,14.17,374.53,3.34,55,0,0,0,,,2003
,7-25,(FRI),169,2240.05,13.25,537.71,3.45,60,2,0,0,,,2003
,7-26,(SAT),146,1942.97,13.31,496.94,3.76,56,4,0,0,,,2003
*,7-27,(SUN),0,,,,,,,,,,,2003
,7-28,(MON),135,1729.63,12.81,336.78,2.85,57,1,0,0,,,2003
,7-29,(TUE),84,1184.78,14.1,320.28,4.05,70,0,0,0,,,2003
,7-30,(WED),62,797.68,12.87,165.69,2.91,56,0,0,0,,,2003
,7-31,(THU),118,1592.54,13.5,396.57,3.67,,,,,,,2003
*,6-01,(SUN),0,,,,,,,,,,,2003
,6-02,(MON),154,2140.75,13.9,569.17,3.9,64,0,0,0,,,2003
,6-03,(TUE),65,958.81,14.75,186.99,3.12,52,0,0,0,,,2003
,6-04,(WED),49,685.82,14,198.35,4.72,62,2,0,0,,,2003
,6-05,(THU),0,,,,,,,,,,,2003
,6-06,(FRI),224,2908.28,12.98,713.28,3.58,67,2,0,0,,,2003
,6-07,(SAT),214,3205.9,14.98,862.45,4.17,71,1,0,0,,,2003
*,6-08,(SUN),0,,,,,,,,,,,2003
,6-09,(MON),156,2119.56,13.59,473.58,3.31,58,1,0,0,,,2003
,6-10,(TUE),150,2027.83,13.52,499.37,3.65,60,0,0,0,,,2003
,6-11,(WED),101,1354.61,13.41,287.07,2.96,62,0,3,2,,,2003
,6-12,(THU),61,756.16,12.4,190.66,3.67,46,0,0,0,,,2003
,6-13,(FRI),200,2788.81,13.94,716.43,3.89,62,3,0,0,,,2003
,6-14,(SAT),179,2701. 67,15.09,739.78,4.4,66,0,0,0,,,2003
*,6-15,(SUN),0,,,,,,,,,,,2003
,6-16,(MON),85,1164.21,13.7,328.2,4.26,61,0,0,0,,,2003
,6-17,(TUE),72,950.31,13.2,270.25,4.09,62,1,0,0,,,2003
,6-18,(WED),88,1115.47,12.68,277.52,3.65,59,0,0,0,,,2003
,6-19,(THU},27,321.49,11. 91,106.99,5.09,62,0,0,0,,,2003
,6-20,(FRI),203,2860.37,14.09,821.88,4.37,71,0,0,0,,,2003
,6-21,(SAT),143,2299.78,16.08,709.46,5.29,72,0,0,0,,,2003
*,6-22,(SUN),0,,,,,,,,,,,2003
*,6-23,(MON),0,,,,,,,,,,,2003
,6-24,(TUE),63,845.2,13.42,252.62,4.77,70,0,0,0,,,2003
,6-25,(WED),130,1733.16,13.33,477.24,4.22,63,0,0,0,,,2003
,6-26,(THU),158,2205.47,13.96,553.57,3.77,63,1,0,0,,,2003
,6-27,(FRI),128,1722.81,13.46,462.28,3.95,65,4,0,0,,,2003
,6-28,(SAT),69,1042.2,15.1,272.31,4.39,76,0,0,0,,,2003
*,6-29,(SUN),0,,,,,,,,,,,2003
,6-30,(MON),233,3146.35,13.5,775.98,3.73,65,0,0,0,,,2003
,5-01,(THU),149,1890.81,12.69,345.42,2.54,46,2,0,0,,,2003
,5-02,(FRI),270,3503.61,12.98,824.66,3.35,62,0,0,0,,,2003
,5-03,(SAT),307,4398.71,14.33,1140.69,3.84,64,0,0,0,,,2003
*,5-04,(SUN),0,,,,,,,,,,,2003
,5-05,(MON),222,2996.53,13.5,613.99,2.95,56,0,0,0,,,2003
,5-06,(TUE),195,2750.69,14.11,698.68,3.7,63,1,0,0,,,2003
,5-07,(WED),198,2600.8,13.14,724.37,3.87,62,0,0,0,,,2003
,5-08,(THU),196,2718.31,13.87,551.92,2.95,56,0,0,0,,,2003
,5-09,(FRI),304,4100.49,13.49,950.47,3.38,64,0,0,0,,,2003
,5-10,(SAT),324,4664.17,14.4,1199.95,3.85,65,0,0,0,,,2003
*,5-11,(SUN),0,,,,,,,,,,,2003
,5-12,(MON),225,2997.51,13.32,673.98,3.27,63,2,0,0,,,2003
,5-13,(TUE),203,2711.77,13.36,635.21,3.29,58,2,0,0,,,2003
,5-14,(WED),123,1599.88,13.01,394.28,3.52,58,0,0,0,,,2003
,5-15,(THU),138,1826.63,13.24,396.66,3.05,60,1,0,0,,,2003
,5-16,(FRI),208,2774.36,13.34,699.32,3.59,61,1,0,0,,,2003
,5-17,(SAT),268,3888.4,14.51,946.52,3.7,63,0,0,0,,,2003
*,5-18,(SUN),0,,,,,,,,,,,2003
,5-19,(MON),86,1218.23,14.17,305.26,3.91,63,1,0,0,,,2003
,5-20,(TUE),125,1600.75,12.81,364.78,3.2,62,1,0,0,,,2003
,5-21,(WED),182,2240.74,12.31,541. 57,3.36,62,2,0,0,,,2003
,5-22,(THU),155,2107.45,13.6,457.46,3.13,57,0,0,0,,,2003
,5-23,(FRI),87,1271.51,14.62,390.54,5.07,70,0,0,0,,,2003
,5-24,(SAT),166,2438.61,14.69,734.2,4.8,64,0,0,0,,,2003
*,5-25,(SUN),0,,,,,,,,,,,2003
*,5-26,(MON),0,,,,,,,,,,,2003
,5-27,(TUE),153,1826.2,11.94,386.19,2.97,59,0,0,0,,,2003
,5-28,(WED),31,411.94,13.29,109.94,4.07,48,0,0,0,,,2003
,5-29,(THU),101,1296.41,12.84,262.42,2.92,61,0,0,0,,,2003
,5-30,(FRI),275,3900.06,14.18,977.71,3.82,63,3,0,0,,,2003
,5-31,(SAT),233,3385.62,14.53,899.27,4.16,67,0,0,0,,,2003
,4-01,(TUE),253,3356.92,13.27,596.95,2.44,49,1,0,0,,,2003
,4-02,(WED),247,3028.52,12.26,682.66,2.87,53,2,0,0,,,2003
,4-03,(THU),227,3163.3,13.94,645.79,3,55,0,0,0,,,2003
,4-04,(FRI),316,4251.4,13.45,1022.97,3.43,61,0,0,0,,,2003
,4-05,(SAT),372,5526.83,14.86,1403.73,3.87,62,0,0,0,,,2003
*,4-06,(SUN),0,,,,,,,,,,,2003
,4-07,(MON),257,3666.47,14.27,837.52,3.39,57,1,0,0,,,2003
,4-08,(TUE),249,3361.54,13.5,627.07,2.61,54,4,0,0,,,2003
,4-09,(WED),48,638.52,13.3,142.07,3.3,56,0,0,0,,,2003
,4-10,(THU),241,3160.92,13.12,535.61,2.36,51,0,1,0,,,2003
,4-11,(FRI),313,4272.57,13.65,949.99,3.18,57,2,0,0,,,2003
,4-12,(SAT),417,5944.05,14.25,1479.1,3.7,62,2,0,0,,,2003
*,4-13,(SUN),0,,,,,,,,,,,2003
,4-14,(MON),353,4780.71,13.54,931.68,2.76,54,3,0,0,,,2003
,4-15,(TUE),290,4033.39,13.91,855.52,3.1,60,3,0,0,,,2003
,4-16,(WED),265,3508.21,13.24,723.72,2.89,50,0,0,0,,,2003
,4-17,(THU),275,3759.69,13.67,757.74,2.88,56,1,0,0,,,2003
,4-18,(FRI),345,4295.37,12.45,987.14,3.08,58,1,0,0,,,2003
,4-19,(SAT),391,5681.99,14.53,1391.49,3.6,61,2,0,0,,,2003
*,4-20,(SUN),0,,,,,,,,,,,2003
,4-21,(MON),258,3458,13.4,733.08,3.07,57,0,0,0,,,2003
,4-22,(TUE),251,3361.57,13.39,722.65,3.11,55,2,0,0,,,2003
,4-23,(WED),261,3485.5,13.35,906.16,3.54,59,0,0,0,,,2003
,4-24,(THU),235,3019.05,12.85,562.01,2.55,47,0,0,0,,,2003
,4-25,(FRI),227,3159.09,13.92,773.55,3.58,58,1,0,0,,,2003
*,4-26,(SAT),0,,,,,,,,,,,2003
*,4-27,(SUN),0,,,,,,,,,,,2003
,4-28,(MON),294,3688.33,12.55,839.28,3.19,55,0,0,0,,,2003
,4-29,(TUE),224,3043.85,13.59,640.51,3.04,60,0,0,0,,,2003
,4-30,(WED),2,,0,,0,0,,,,,,2003
,3-01,(SAT),372,5185.53,13.94,1120.39,3.13,53,3,0,0,,,2003
*,3-02,(SUN),0,,,,,,,,,,,2003
,3-03,(MON),351,4253.17,12.12,879.95,2.71,53,3,0,0,,,2003
,3-04,(TUE),301,4081.41,13.56,857.5,2.95,52,2,0,0,,,2003
,3-05,(WED),300,3737.92,12.46,809.73,2.81,50,0,0,0,,,2003
,3-06,(THU),307,4156.44,13.54,879.56,2.95,55,2,0,0,,,2003
,3-07,(FRI),373,4932.48,13.22,1017.66,2.87,54,0,0,0,,,2003
,3-08,(SAT),416,5872.56,14.12,1504.01,3.77,60,0,0,0,,,2003
*,3-09,(SUN),0,,,,,,,,,,,2003
,3-10,(MON),239,3146.37,13.16,684.15,3.01,50,0,0,0,,,2003
,3-11,(TUE),279,3666.47,13.14,767.59,2.94,50,0,0,0,,,2003
,3-12,(WED),248,2982.4,12.03,614.53,2.6,47,2,0,0,,,2003
,3-13,(THU),259,3488.3,13.47,620.28,2.46,46,3,0,0,,,2003
,3-14,(FRI),329,4639.09,14.1,1166.91,3.68,58,0,0,0,,,2003
,3-15,(SAT),326,4625.68,14.19,1182.1,3.9,60,0,0,0,,,2003
*,3-16,(SUN),0,,,,,,,,,,,2003
,3-17,(MON),217,2784.26,12.83,592.38,2.86,50,3,0,0,,,2003
,3-18,(TUE),228,3091.05,13.56,642.04,2.95,50,0,0,0,,,2003
,3-19,(WED),205,2303.55,11.24,619.17,3.28,56,0,0,0,,,2003
,3-20,(THU),224,2981.83,13.31,718.18,3.37,55,2,0,0,,,2003
,3-21,(FRI),252,3389.23,13.45,785.09,3.4,55,0,0,0,,,2003
,3-22,(SAT),265,3978.51,15.01,1032.49,4.11,65,0,0,0,,,2003
*,3-23,(SUN),0,,,,,,,,,,,2003
,3-24,(MON),235,2895.36,12.32,752.2,3.43,55,0,0,0,,,2003
,3-25,(TUE),256,3449.28,13.47,789.23,3.18,54,2,0,0,,,2003
,3-26,(WED),193,2584.53,13.39,530.79,2.82,52,1,0,0,,,2003
,3-27,(THU),71,965.56,13.6,190.05,2.88,61,1,0,0,,,2003
,3-28,(FRI),293,3721.22,12.7,945.83,3.53,61,5,2,0,,,2003
*,3-29,(SAT),319,4498.83,14.1,1436.03,4.8,74,0,0,0,,,2003
*,3-30,(SUN),0,,,,,,,,,,,2003
,3-31,(MON),291,3759.17,12.92,789,2.84,54,1,0,0,,,2003
,2-01 (SAT),,491,7087.88,14.44,1677.65,3.56,59,1,0,0,,,2003
*,2-02 ( SUN),,0,,,,,,,,,,,2003
,2-03 (MON),,437,5645.99,12.92,1039.24,2.47,50,2,0,0,,,2003
,2-04 (TUE),,364,4980.8,13.68,1090.59,3.17,55,1,0,0,,,2003
,2-05 (WED),,253,2948.46,11.65,644.73,2.61,45,0,0,0,,,2003
,2-06 (THU),,348,4581.09,13.16,909.05,2.73,48,0,0,0,,,2003
,2-07 (FRI),,405,4697.29,11.6,984.01,2.55,48,3,1,1,,,2003
,2-08 (SAT),,472,6655.36,14.1,1564.47,3.45,59,0,0,0,,,2003
*,2-09 (SUN),,0,,,,,,,,,,,2003
,2-10 (MON),,313,4125.38,13.18,798.4,2.65,52,3,0,0,,,2003
,2-11 (TUE),,433,5478.44,12.65,998.64,2.45,46,1,0,0,,,2003
,2-12 (WED),,444,5124.55,11. 54,1095.64,2.52,46,1,0,0,,,2003
,2-13 (THU),,398,5328.08,13.39,1041.66,2.73,53,0,0,0,,,2003
,2-14 (FRI),,439,6046.46,13.77,1271.21,3.04,55,1,0,0,,,2003
,2-15 (SAT),,444,6020.52,13.56,1453.95,3.39,59,6,0,0,,,2003
*,2-16 (SUN),,0,,,,,,,,,,,2003
,2-17 (MON),,182,2407.98,13.23,519.83,3,50,0,0,0,,,2003
,2-18 (TUE),,271,3461.46,12.77,714.28,2.81,45,0,0,0,,,2003
,2-19 (WED),,250,2679.69,10.72,570.36,2.39,43,1,0,0,,,2003
,2-20 (THU),,185,2367.42,12.8,482.79,2.76,45,3,0,0,,,2003
,2-21 (FRI),,273,3771. 55,13.82,941. 28,3.68,55,0,0,0,,,2003
,2-22 (SAT),,318,4805.19,15.11,1299.06,4.26,67,0,0,0,,,2003
*,2-23 (SUN),,0,,,,,,,,,,,2003
,2-24 (MON),,291,3815.51,13.11,737.01,2.71,51,0,0,0,,,2003
,2-25 (TUE),,270,3632.57,13.45,814.83,3.17,56,0,0,0,,,2003
,2-26 (WED),,275,3116.37,11.33,618.84,2.35,50,2,0,0,,,2003
,2-27 (THU),,244,2834.43,11.62,585.41,2.47,49,5,0,0,,,2003
,2-28 (FRI),,334,4194.1,12.56,1022.85,3.22,56,3,0,0,,,2003
*,1-01,(WED),0,,,,,,,,,,,2003
,1-02,(THU),180,2425.61,13.48,548.02,3.22,55,0,0,0,,,2003
,1-03,(FRI),116,1493.64,12.88,328.08,3.07,56,0,0,0,,,2003
